"RelativePath","AssetRoot","Extension","SourceBytes","OfficialBytes","Content"
"Sound\Cr\sggn\moan.wav","Sound",".wav","26198","26198","Identical"
"Sound\Cr\sggn\roar.wav","Sound",".wav","19966","19966","Identical"
"Sound\Cr\sggn\scrm.wav","Sound",".wav","54778","54778","Identical"
"Sound\Cr\shalk\moan.wav","Sound",".wav","56140","12539","Different"
"Sound\Cr\shalk\roar.wav","Sound",".wav","17790","17790","Identical"
"Sound\Cr\shalk\scrm.wav","Sound",".wav","30870","30870","Identical"
"Sound\Cr\silt\silt01.wav","Sound",".wav","207792","207792","Identical"
"Sound\Cr\silt\silt02.wav","Sound",".wav","220192","220192","Identical"
"Sound\Cr\silt\silt03.wav","Sound",".wav","205058","205058","Identical"
"Sound\Cr\skel\moan.wav","Sound",".wav","61516","61516","Identical"
"Sound\Cr\skel\roar.wav","Sound",".wav","22426","22426","Identical"
"Sound\Cr\skel\scrm.wav","Sound",".wav","76044","76044","Identical"
"Sound\Cr\slfish\moan.wav","Sound",".wav","54104","54104","Identical"
"Sound\Cr\slfish\roar.wav","Sound",".wav","42392","42392","Identical"
"Sound\Cr\slfish\scrm.wav","Sound",".wav","100376","100376","Identical"
"Sound\Cr\sludge\sludgeFALL.wav","Sound",".wav","86844","86844","Identical"
"Sound\Cr\sludge\sludgeLEFT.wav","Sound",".wav","36004","36004","Identical"
"Sound\Cr\sludge\sludgeR.wav","Sound",".wav","75576","75576","Identical"
"Sound\Cr\sludge\sludgeRIGHT.wav","Sound",".wav","46520","46520","Identical"
"Sound\Cr\sludge\sludgeS.wav","Sound",".wav","61170","61170","Identical"
"Sound\Cr\sludge\slydgeM.wav","Sound",".wav","151302","151302","Identical"
"Sound\Cr\were\moan.wav","Sound",".wav","191746","191746","Identical"
"Sound\Cr\were\roar.wav","Sound",".wav","138780","138780","Identical"
"Sound\Cr\were\scrm.wav","Sound",".wav","120668","120668","Identical"
"Sound\Cr\were\wolf attack 01.wav","Sound",".wav","24066","24066","Identical"
"Sound\Cr\were\wolf attack 02.wav","Sound",".wav","17474","17474","Identical"
"Sound\Cr\were\wolf attack 03.wav","Sound",".wav","21470","21470","Identical"
"Sound\Cr\were\wolf growl 01.wav","Sound",".wav","175490","175490","Identical"
"Sound\Cr\were\wolf growl 03.wav","Sound",".wav","114460","114460","Identical"
"Sound\Cr\were\wolf growl 09.wav","Sound",".wav","110814","110814","Identical"
"Sound\Cr\were\wolf growl 12.wav","Sound",".wav","84778","84778","Identical"
"Sound\Cr\were\wolf growl 14.wav","Sound",".wav","129528","129528","Identical"
"Sound\Cr\were\wolf hit 01.wav","Sound",".wav","76578","76578","Identical"
"Sound\Cr\were\wolf hit 02.wav","Sound",".wav","53804","53804","Identical"
"Sound\Cr\were\wolf hit 03.wav","Sound",".wav","86700","86700","Identical"
"Sound\Cr\were\wolf howl 01.wav","Sound",".wav","312278","312278","Identical"
"Sound\Cr\were\wolf pant.wav","Sound",".wav","179198","179198","Identical"
"Sound\Cr\were\wolf pissed 02.wav","Sound",".wav","93040","93040","Identical"
"Sound\Cr\were\wolf pissed 03.wav","Sound",".wav","145604","145604","Identical"
"Sound\Cr\were\wolf pissed 07.wav","Sound",".wav","99424","99424","Identical"
"Sound\Cr\were\wolf pissed 10.wav","Sound",".wav","175630","175630","Identical"
"Sound\Cr\were\wolf pissed 12.pk","Sound",".pk","4736","4736","Identical"
"Sound\Cr\were\wolf pissed 12.wav","Sound",".wav","298108","298108","Identical"
"Sound\Cr\wngtwl\moan.wav","Sound",".wav","76656","76656","Identical"
